rowid,time,timenow,id,subcondition,block,trial,carspeed,babylocation,givenevent,response
19764,2/18/2021 23:40,61.688,42,n,2.Registration,NA,NA,NA,Start New Block,NA
19765,2/18/2021 23:41,88.632,42,n,3.Narrative1,Tutorial Instructions 1,,NA,Start New Block,
19766,2/18/2021 23:41,113.813,42,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed
19767,2/18/2021 23:41,120.294,42,n,3.Narrative1,Tutorial Instructions 1,44,NA,Estimated Speed,4
19768,2/18/2021 23:41,125.967,42,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed
19769,2/18/2021 23:42,127.215,42,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed
19770,2/18/2021 23:42,144.248,42,n,4.NeutralScene,1,88,NA,Car Starts,NA
19771,2/18/2021 23:42,147.53,42,n,4.NeutralScene,1,88,NA,Car Ends,NA
19772,2/18/2021 23:42,151.429,42,n,4.NeutralScene,1,88,NA,Score (Space Pressed),1
19773,2/18/2021 23:42,153.575,42,n,4.NeutralScene,1,88,NA,Estimated Speed,4
19774,2/18/2021 23:42,160.938,42,n,4.NeutralScene,2,73,NA,Car Starts,NA
19775,2/18/2021 23:42,164.952,42,n,4.NeutralScene,2,73,NA,Car Ends,NA
19776,2/18/2021 23:42,166.277,42,n,4.NeutralScene,3,73,NA,Score (Space Pressed),1
19777,2/18/2021 23:42,166.277,42,n,4.NeutralScene,3,73,NA,Score (Space Pressed),1
19778,2/18/2021 23:42,174.992,42,n,4.NeutralScene,3,59,NA,Car Starts,NA
19779,2/18/2021 23:42,176.992,42,n,4.NeutralScene,3,59,NA,Score (Space Pressed),2
19780,2/18/2021 23:42,177.601,42,n,4.NeutralScene,3,59,NA,Score (Space Pressed),2
19781,2/18/2021 23:42,179.856,42,n,4.NeutralScene,3,59,NA,Car Ends,NA
19782,2/18/2021 23:42,182.531,42,n,4.NeutralScene,3,59,NA,Estimated Speed,4
19783,2/18/2021 23:43,191.046,42,n,4.NeutralScene,4,73,NA,Car Starts,NA
19784,2/18/2021 23:43,195.304,42,n,4.NeutralScene,4,73,NA,Car Ends,NA
19785,2/18/2021 23:43,197.178,42,n,4.NeutralScene,4,73,NA,Estimated Speed,4
19786,2/18/2021 23:43,204.542,42,n,4.NeutralScene,5,73,NA,Car Starts,NA
19787,2/18/2021 23:43,206.293,42,n,4.NeutralScene,5,73,NA,Score (Space Pressed),2
19788,2/18/2021 23:43,208.107,42,n,4.NeutralScene,5,73,NA,Car Ends,NA
19789,2/18/2021 23:43,212.57,42,n,4.NeutralScene,5,73,NA,Estimated Speed,5
19790,2/18/2021 23:43,220.974,42,n,4.NeutralScene,6,88,NA,Car Starts,NA
19791,2/18/2021 23:43,222.539,42,n,4.NeutralScene,6,88,NA,Score (Space Pressed),3
19792,2/18/2021 23:43,223.961,42,n,4.NeutralScene,6,88,NA,Car Ends,NA
19793,2/18/2021 23:43,227.542,42,n,4.NeutralScene,6,88,NA,Estimated Speed,5
19794,2/18/2021 23:43,234.607,42,n,4.NeutralScene,7,88,NA,Car Starts,NA
19795,2/18/2021 23:43,236.227,42,n,4.NeutralScene,7,88,NA,Score (Space Pressed),4
19796,2/18/2021 23:43,237.678,42,n,4.NeutralScene,7,88,NA,Car Ends,NA
19797,2/18/2021 23:43,239.996,42,n,4.NeutralScene,7,88,NA,Estimated Speed,4
19798,2/18/2021 23:44,247.182,42,n,4.NeutralScene,8,44,NA,Car Starts,NA
19799,2/18/2021 23:44,250.112,42,n,4.NeutralScene,8,44,NA,Score (Space Pressed),5
19800,2/18/2021 23:44,253.018,42,n,4.NeutralScene,8,44,NA,Car Ends,NA
19801,2/18/2021 23:44,257.195,42,n,4.NeutralScene,8,44,NA,Estimated Speed,3
19802,2/18/2021 23:44,271.371,42,n,4.NeutralScene,9,44,NA,Car Starts,NA
19803,2/18/2021 23:44,273.908,42,n,4.NeutralScene,9,44,NA,Score (Space Pressed),6
19804,2/18/2021 23:44,277.706,42,n,4.NeutralScene,9,44,NA,Car Ends,NA
19805,2/18/2021 23:44,283.405,42,n,4.NeutralScene,9,44,NA,Estimated Speed,2
19806,2/18/2021 23:44,294.859,42,n,4.NeutralScene,10,73,NA,Car Starts,NA
19807,2/18/2021 23:44,296.696,42,n,4.NeutralScene,10,73,NA,Score (Space Pressed),7
19808,2/18/2021 23:44,298.602,42,n,4.NeutralScene,10,73,NA,Car Ends,NA
19809,2/18/2021 23:44,300.528,42,n,4.NeutralScene,10,73,NA,Estimated Speed,4
19810,2/18/2021 23:44,305.905,42,n,4.NeutralScene,11,103,NA,Car Starts,NA
19811,2/18/2021 23:45,307.492,42,n,4.NeutralScene,11,103,NA,Score (Space Pressed),8
19812,2/18/2021 23:45,308.643,42,n,4.NeutralScene,11,103,NA,Car Ends,NA
19813,2/18/2021 23:45,312.561,42,n,4.NeutralScene,11,103,NA,Estimated Speed,6
19814,2/18/2021 23:45,320.407,42,n,4.NeutralScene,12,59,NA,Car Starts,NA
19815,2/18/2021 23:45,322.767,42,n,4.NeutralScene,12,59,NA,Score (Space Pressed),9
