timenow,id,subcondition,blockname,trial,carspeed,babylocation,responsename,eventname,mobility,clothes
809.499,100,n,3.Narrative1,Tutorial Instructions 1,,NA,,Start New Block,NA,NA
811.462,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
813.743,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
816.194,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
816.441,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
816.686,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
816.811,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
824.539,100,n,3.Narrative1,Tutorial Instructions 1,73,NA,Space Pressed,Space Pressed,NA,NA
825.389,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
826.857,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
830.539,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
832.994,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
833.118,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
833.363,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
833.485,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
833.608,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
833.852,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
842.688,100,n,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed,NA,NA
859.844,100,n,4.NeutralScene,,,NA,,Start New Block,NA,NA
862.674,100,n,4.NeutralScene,1,44,NA,NA,Car Starts,NA,NA
862.94,100,n,4.NeutralScene,1,44,NA,1,Score (Space Pressed),NA,NA
863.074,100,n,4.NeutralScene,1,44,NA,1,Score (Space Pressed),NA,NA
863.342,100,n,4.NeutralScene,1,44,NA,2,Score (Space Pressed),NA,NA
863.473,100,n,4.NeutralScene,1,44,NA,2,Score (Space Pressed),NA,NA
863.606,100,n,4.NeutralScene,1,44,NA,2,Score (Space Pressed),NA,NA
863.734,100,n,4.NeutralScene,1,44,NA,2,Score (Space Pressed),NA,NA
