timenow,id,subcondition,blockname,trial,carspeed,babylocation,responsename,eventname
43.095,209,p,3.Narrative1,Tutorial Instructions 1,,NA,,Start New Block
61.643,209,p,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed
65.82,209,p,3.Narrative1,Tutorial Instructions 1,44,NA,Space Pressed,Space Pressed
83.515,209,p,4.NeutralScene,,,NA,,Start New Block
85.247,209,p,4.NeutralScene,1,73,NA,NA,Car Starts
88.363,209,p,4.NeutralScene,1,73,NA,1,Score (Space Pressed)
93.562,209,p,4.NeutralScene,1,73,NA,NA,Car Ends
102.492,209,p,4.NeutralScene,1,73,NA,6,Estimated Speed
103.617,209,p,4.NeutralScene,2,103,NA,NA,Car Starts
105.626,209,p,4.NeutralScene,2,103,NA,2,Score (Space Pressed)
110.607,209,p,4.NeutralScene,2,103,NA,NA,Car Ends
121.918,209,p,4.NeutralScene,2,103,NA,6,Estimated Speed
123.008,209,p,4.NeutralScene,3,103,NA,NA,Car Starts
124.951,209,p,4.NeutralScene,3,103,NA,3,Score (Space Pressed)
129.602,209,p,4.NeutralScene,3,103,NA,NA,Car Ends
142.727,209,p,4.NeutralScene,3,103,NA,5,Estimated Speed
144.581,209,p,4.NeutralScene,4,44,NA,NA,Car Starts
149.525,209,p,4.NeutralScene,4,44,NA,4,Score (Space Pressed)
152.308,209,p,4.NeutralScene,4,44,NA,NA,Car Ends
166.42,209,p,4.NeutralScene,4,44,NA,2,Estimated Speed
168.161,209,p,4.NeutralScene,5,44,NA,NA,Car Starts
173.068,209,p,4.NeutralScene,5,44,NA,5,Score (Space Pressed)
180.616,209,p,5.DogNarrative,Dog Tutorial Instructions,,Blanket,,Start New Block
180.848,209,p,5.DogNarrative,Dog Tutorial Instructions,44,Blanket,NA,Baby Crossed Blanket
181.865,209,p,5.DogNarrative,Dog Tutorial Instructions,44,Road,NA,Baby Crossed Road
200.295,209,p,6.DogScene,,,Road,,Start New Block
201.209,209,p,6.DogScene,,0,Grass,NA,Baby Crossed Blanket
204.277,209,p,6.DogScene,,0,Grass,NA,Baby Crossed Blanket
208.506,209,p,6.DogScene,,0,Blanket,NA,Baby Crossed Blanket
208.622,209,p,6.DogScene,,0,Blanket,NA,Baby Crossed Blanket
209.089,209,p,6.DogScene,1,103,Grass,NA,Baby Crossed Blanket
209.541,209,p,6.DogScene,1,103,Grass,NA,Baby Crossed Blanket
211.421,209,p,6.DogScene,1,103,Grass,6,Score (Space Pressed)
215.104,209,p,6.DogScene,1,103,Grass,Baby Location: (256.26,B Pressed
217.086,209,p,6.DogScene,1,103,Blanket,5,Estimated Speed
217.519,209,p,6.DogScene,1,103,Blanket,NA,Baby Crossed Blanket
228.866,209,p,6.DogScene,1,103,Road,NA,Baby Crossed Blanket
230.198,209,p,6.DogScene,2,88,Road,NA,Car Starts
231.831,209,p,6.DogScene,2,88,Road,7,Score (Space Pressed)
232.947,209,p,6.DogScene,2,88,Grass,NA,Baby Crossed Blanket
234.082,209,p,6.DogScene,2,88,Grass,NA,Baby Crossed Blanket
238.48,209,p,6.DogScene,2,88,Grass,4,Estimated Speed
239.929,209,p,6.DogScene,3,88,Grass,Baby Location: (258.28,B Pressed
242.86,209,p,6.DogScene,3,44,Grass,NA,Car Starts
244.577,209,p,6.DogScene,3,44,Grass,8,Score (Space Pressed)
244.845,209,p,6.DogScene,3,44,Blanket,NA,Baby Crossed Blanket
249.908,209,p,6.DogScene,3,44,Blanket,NA,Baby Crossed Blanket
256.756,209,p,6.DogScene,3,44,Blanket,3,Estimated Speed
258.672,209,p,6.DogScene,4,44,Blanket,NA,Car Starts
261.438,209,p,6.DogScene,4,44,Road,9,Score (Space Pressed)
262.491,209,p,6.DogScene,4,44,Grass,NA,Baby Crossed Blanket
263.837,209,p,6.DogScene,4,44,Grass,NA,Baby Crossed Blanket
266.137,209,p,6.DogScene,4,44,Grass,NA,Baby Crossed Blanket
269.941,209,p,6.DogScene,4,44,Road,1,Estimated Speed
275.183,209,p,6.DogScene,5,44,Blanket,Baby Location: (257.02,B Pressed
275.499,209,p,6.DogScene,5,44,Blanket,NA,Baby Crossed Blanket
276.766,209,p,6.DogScene,5,44,Blanket,NA,Baby Crossed Blanket
279.116,209,p,6.DogScene,5,59,Blanket,NA,Car Starts
283.847,209,p,6.DogScene,5,59,Blanket,10,Score (Space Pressed)
290.461,209,p,6.DogScene,5,59,Road,4,Estimated Speed
291.666,209,p,6.DogScene,5,59,Grass,NA,Baby Crossed Blanket
294.577,209,p,6.DogScene,5,59,Grass,NA,Baby Crossed Blanket
296.043,209,p,6.DogScene,6,73,Grass,NA,Car Starts
297.362,209,p,6.DogScene,6,73,Grass,11,Score (Space Pressed)
301.591,209,p,6.DogScene,6,73,Grass,Baby Location: (258.85,B Pressed
302.64,209,p,6.DogScene,6,73,Grass,5,Estimated Speed
302.924,209,p,6.DogScene,6,73,Blanket,NA,Baby Crossed Blanket
315.722,209,p,6.DogScene,6,73,Blanket,NA,Baby Crossed Blanket
317.269,209,p,6.DogScene,7,59,Blanket,NA,Car Starts
319.618,209,p,6.DogScene,7,59,Road,12,Score (Space Pressed)
320.486,209,p,6.DogScene,7,59,Road,NA,Baby Crossed Blanket
323.851,209,p,6.DogScene,7,59,Grass,NA,Baby Crossed Blanket
327.582,209,p,6.DogScene,7,59,Road,5,Estimated Speed
332.897,209,p,6.DogScene,8,59,Road,Baby Location: (252.34,B Pressed
335.18,209,p,6.DogScene,8,88,Blanket,NA,Car Starts
335.463,209,p,6.DogScene,8,88,Blanket,NA,Baby Crossed Blanket
339.262,209,p,6.DogScene,8,88,Blanket,NA,Baby Crossed Blanket
344.91,209,p,6.DogScene,8,88,Road,4,Estimated Speed
346.226,209,p,6.DogScene,9,103,Road,NA,Car Starts
348.009,209,p,6.DogScene,9,103,Road,13,Score (Space Pressed)
349.079,209,p,6.DogScene,9,103,Grass,NA,Baby Crossed Blanket
350.045,209,p,6.DogScene,9,103,Grass,NA,Baby Crossed Blanket
361.303,209,p,6.DogScene,9,103,Road,5,Estimated Speed
362.181,209,p,6.DogScene,9,103,Road,NA,Baby Crossed Road
362.837,209,p,6.DogScene,9,103,Road,NA,Baby Crossed Road
363.355,209,p,6.DogScene,10,88,Road,NA,Car Starts
364.454,209,p,6.DogScene,10,88,Grass,Baby Location: (251.32,B Pressed
369.303,209,p,6.DogScene,10,88,Grass,14,Score (Space Pressed)
370.931,209,p,6.DogScene,10,88,Grass,5,Estimated Speed
378.732,209,p,6.DogScene,10,88,Blanket,NA,Baby Crossed Blanket
380.214,209,p,6.DogScene,11,73,Road,NA,Car Starts
380.332,209,p,6.DogScene,11,73,Road,NA,Car Starts
392.302,209,p,5.RobotNarrative,Robot Tutorial Instructions,,Blanket,,Start New Block
400.658,209,p,5.RobotNarrative,Robot Tutorial Instructions,59,Grass,NA,Baby Crossed Blanket
404.892,209,p,5.RobotNarrative,Robot Tutorial Instructions,59,Grass,Baby Location: (258.86,B Pressed
424.216,209,p,6.RobotScene,,,Blanket,,Start New Block
429.831,209,p,6.RobotScene,,0,Grass,NA,Baby Crossed Blanket
431.086,209,p,6.RobotScene,1,103,Grass,NA,Car Starts
433.718,209,p,6.RobotScene,1,103,Grass,16,Score (Space Pressed)
436.597,209,p,6.RobotScene,1,103,Road,NA,Baby Crossed Road
437.463,209,p,6.RobotScene,1,103,Grass,NA,Baby Crossed Road
445.792,209,p,6.RobotScene,1,103,Grass,3,Estimated Speed
451.708,209,p,6.RobotScene,1,103,Road,NA,Baby Crossed Blanket
455.19,209,p,6.RobotScene,1,103,Road,NA,Baby Crossed Road
457.022,209,p,6.RobotScene,2,103,Road,Baby Location: (250.98,B Pressed
458.672,209,p,6.RobotScene,2,88,Road,NA,Car Starts
463.47,209,p,6.RobotScene,2,88,Grass,17,Score (Space Pressed)
482.314,209,p,6.RobotScene,2,88,Grass,2,Estimated Speed
482.739,209,p,6.RobotScene,2,88,Grass,NA,Baby Crossed Blanket
484.749,209,p,6.RobotScene,3,59,Grass,NA,Car Starts
490.53,209,p,6.RobotScene,3,59,Road,18,Score (Space Pressed)
492.16,209,p,6.RobotScene,3,59,Road,NA,Baby Crossed Road
493.565,209,p,6.RobotScene,3,59,Road,2,Estimated Speed
498.258,209,p,6.RobotScene,4,59,Road,Baby Location: (251.80,B Pressed
500.991,209,p,6.RobotScene,4,44,Grass,NA,Car Starts
506.439,209,p,6.RobotScene,4,44,Blanket,19,Score (Space Pressed)
520.884,209,p,6.RobotScene,4,44,Grass,2,Estimated Speed
521.617,209,p,6.RobotScene,4,44,Grass,NA,Baby Crossed Blanket
524.551,209,p,6.RobotScene,5,44,Grass,NA,Car Starts
532.047,209,p,6.RobotScene,5,44,Grass,20,Score (Space Pressed)
535.912,209,p,6.RobotScene,5,44,Blanket,3,Estimated Speed
547.324,209,p,6.RobotScene,5,44,Road,NA,Baby Crossed Blanket
549.875,209,p,6.RobotScene,5,44,Road,NA,Baby Crossed Road
550.546,209,p,6.RobotScene,6,73,Road,NA,Car Starts
551.79,209,p,6.RobotScene,6,73,Road,Baby Location: (250.66,B Pressed
556.989,209,p,6.RobotScene,6,73,Grass,21,Score (Space Pressed)
568.501,209,p,6.RobotScene,6,73,Blanket,5,Estimated Speed
569.937,209,p,6.RobotScene,7,103,Blanket,NA,Car Starts
575.082,209,p,6.RobotScene,7,103,Blanket,22,Score (Space Pressed)
575.167,209,p,6.RobotScene,7,103,Blanket,22,Score (Space Pressed)
586.031,209,p,6.RobotScene,7,103,Road,6,Estimated Speed
589.278,209,p,6.RobotScene,7,103,Road,NA,Baby Crossed Road
589.527,209,p,6.RobotScene,8,103,Road,Baby Location: (255.56,B Pressed
590.927,209,p,6.RobotScene,8,88,Road,NA,Car Starts
595.276,209,p,6.RobotScene,8,88,Road,23,Score (Space Pressed)
612.004,209,p,6.RobotScene,8,88,Blanket,3,Estimated Speed
613.504,209,p,6.RobotScene,9,73,Blanket,NA,Car Starts
616.402,209,p,6.RobotScene,9,73,Grass,24,Score (Space Pressed)
619.943,209,p,6.RobotScene,9,73,Blanket,NA,Baby Crossed Blanket
630.481,209,p,6.RobotScene,9,73,Road,5,Estimated Speed
631.157,209,p,6.RobotScene,9,73,Road,NA,Baby Crossed Road
632.966,209,p,6.RobotScene,10,59,Road,NA,Car Starts
634.638,209,p,6.RobotScene,10,59,Road,25,Score (Space Pressed)
645.292,209,p,5.BabyNarrative,Baby Tutorial Instructions,,Blanket,,Start New Block
646.846,209,p,5.BabyNarrative,Baby Tutorial Instructions,59,Grass,NA,Baby Crossed Blanket
648.858,209,p,5.BabyNarrative,Baby Tutorial Instructions,59,Grass,NA,Baby Crossed Blanket
668.185,209,p,6.BabyScene,,,Blanket,,Start New Block
670.074,209,p,6.BabyScene,,0,Grass,NA,Baby Crossed Blanket
677.767,209,p,6.BabyScene,1,0,Blanket,Baby Location: (253.91,B Pressed
679.247,209,p,6.BabyScene,1,88,Blanket,NA,Car Starts
680.63,209,p,6.BabyScene,1,88,Blanket,26,Score (Space Pressed)
683.446,209,p,6.BabyScene,1,88,Blanket,NA,Car Ends
689.594,209,p,6.BabyScene,1,88,Blanket,6,Estimated Speed
691.577,209,p,6.BabyScene,1,88,Grass,NA,Baby Crossed Blanket
691.793,209,p,6.BabyScene,2,44,Grass,NA,Car Starts
697.358,209,p,6.BabyScene,2,44,Grass,Baby Location: (256.11,B Pressed
701.341,209,p,6.BabyScene,2,44,Blanket,NA,Car Ends
708.12,209,p,6.BabyScene,2,44,Blanket,4,Estimated Speed
709.605,209,p,6.BabyScene,3,73,Blanket,NA,Car Starts
711.961,209,p,6.BabyScene,3,73,Blanket,27,Score (Space Pressed)
712.07,209,p,6.BabyScene,3,73,Blanket,27,Score (Space Pressed)
715.385,209,p,6.BabyScene,3,73,Grass,NA,Car Ends
715.585,209,p,6.BabyScene,3,73,Grass,3,Estimated Speed
724.565,209,p,6.BabyScene,4,73,Blanket,Baby Location: (253.21,B Pressed
726.517,209,p,6.BabyScene,4,103,Blanket,NA,Car Starts
727.335,209,p,6.BabyScene,4,103,Blanket,28,Score (Space Pressed)
730.864,209,p,6.BabyScene,4,103,Blanket,NA,Car Ends
735.979,209,p,6.BabyScene,4,103,Blanket,5,Estimated Speed
737.228,209,p,6.BabyScene,4,103,Grass,NA,Baby Crossed Blanket
739.994,209,p,6.BabyScene,4,103,Grass,NA,Baby Crossed Blanket
744.275,209,p,6.BabyScene,5,103,Grass,Baby Location: (257.18,B Pressed
745.942,209,p,6.BabyScene,5,44,Grass,NA,Car Starts
